given_name_A,surname_A,street_number_A,address_1_A,address_2_A,suburb_A,postcode_A,state_A,date_of_birth_A,soc_sec_id_A,given_name_B,surname_B,street_number_B,address_1_B,address_2_B,suburb_B,postcode_B,state_B,date_of_birth_B,soc_sec_id_B
samantha,chandler,183,macnamara place,st johnof god hospital,greenwith,2047,wa,19011201,6692802,samantha,leong,124,,tilburoo,wantirna,3046,qld,19670430,2292707
riley,mort,4,shirra close,the meadows,kalamunda,0880,nsw,19870801,4540256,riley,ree,9,archibald street,wisperin gpines,coonabarabran,5162,wa,19700922,4932145
noah,clarke,608,bindel street,anstee court,boggabri,5158,nsw,19540920,8260965,noah,fusco,65,kruseplace,thepoints h olsteins,kununurra,3400,nsw,19490107,9136935
jordan,george,114,rapanea street,peechabella,maryborough,4123,vic,19951020,4523010,jordan,whie,8,,,ryde,2148,vic,19890416,6617539
timothy,plume,130,forsythe street,breakaway creek es,barrington,5032,vic,19861022,6729470,timothy,haythorpe,21,grund p lace,brentwood vlge,blackmans bay,2603,vic,19200714,2476740
,lowry,6,hadleigh circuit,rowethorpe,rossmoyne,2770,sa,19350708,6616912,,garanggar,,may maxwell crescent,springettst arcade,forest hill,2342,vic,19921016,1366884
matthew,jardine,36,sainsbury street,alice downs,windsor,4573,nsw,19180805,2211117,matthew,walms,1121,massi e place,the stockyards,dalby,3352,nsw,19280328,6147905
,collinson,8,parrabel place,fraser lodge,elwood,2420,vic,19100819,5602774,,allard,26,burnie north west private hospital,dyring place,south perth,4852,nsw,19491011,9472794
lily,browne,1,spring range road,wandella park snowy,somerset,2042,qld,19990812,1727298,lily,poskey,38,moore o lace,kenbar,lower templestowe,2474,nsw,19210315,8556979
isabella,spicer,19,lumeah street,lochinvah,boyne island,2780,wa,19130404,1159942,isabella,,576,grimshaw street,brentwood vlge,tar,2092,qld,19440214,5901255
william,colquhoun,955,smalley circuit,villa 3,harbord,2200,vic,19141107,1327358,william,richmond,7,redlands,totterdell street,metubg,6076,nsw,19110103,3661413
lachlan,godfrey,45,lienhop street,sorrento,lalor,2350,sa,19080429,9107241,lachlan,goldsworthy,5,wanganeen avenue,howie circuit,sheidow park,2038,sa,19380108,4133306
molly,roche,59,willoughby crescent,donna valley,carrara,4825,nsw,19200712,1847058,molly,hanna,18,lewis luxton avenue,tullaillan,salisbury east,2032,vic,19171018,3994290
joshua,sherriff,159,cosgrove street,sun city resort,bligh park,2035,qld,,6454105,joshua,capel,1,clive steele avenue,spq acmp,woonrara,4207,qld,19090522,4415928
john-paul,parr,22,david street,greater cess vill,croydon north,4737,wa,19800811,8703902,john,ryan,,chuculba crescent,redfern station,,4605,vic,19840524,2056918
,fullerton,20,leichhardt street,gostwyck,chelsea heights,6107,nsw,19620113,4058902,,collibnson,8,parrabel place,fraser lodge,elwozoc,2420,vic,19100819,5602774
joshua,green,13,duncan street,euroka,artarmon,4871,qld,19970505,4108253,joshua,needham,20,,jackarand alodge,manunda,2325,qld,19130421,6586520
joshua,moody,15,glover street,el-woodaro,warren,2304,qld,19580620,9224762,joshua,capel,1,clive steele avenue,spq acmp,woonrara,4207,qld,19090522,4415928
caitlin,morrison,8,augustus close,,clarkson,4170,nsw,19130704,9362649,caitlin,berry,29,carr crscent,bletchly aprk,corrimal east,4075,sa,19780804,2225444
cooper,hammer,20,eggleston crescent,,bunbury,4703,qld,19680910,7753471,cooper,mcneiwll,119,the sandys,maidment place,dungog,5075,nsw,19080127,2706283
william,ziswiler,68,bellchambers crescent,galloway,queenscliff,2218,vic,19010406,5172369,william,pia zza,219,monfries place,weemilah,pymble,5605,nsw,19150522,8044732
joshua,green,13,duncan street,euroka,artarmon,4871,qld,19970505,4108253,joshua,lowe,15,patton place,redlands,tarcutta,4705,sa,19120201,7132911
,clarke,,edkins street,conmurra,robina,2162,nsw,19360520,2120525,,gibb,35,tenison-woodsr circuit,the j gms,adamstown heights,6333,nsw,19090430,3651633
,clarke,14,,rowethorpe,newcastle,2220,vic,19670314,9542197,,czarnik,10,bunbury street,glneavon,ulmarra,4252,qld,19601222,3960160
talia,berry,24,nemarang crescent,,nollamara,3707,vic,19690713,1239638,talia,millaf,20,la perous e street,,kellyfville,2250,wa,19800606,3894135
matthew,raward,2,duffus place,stephens creek,mount gravatt,4011,qld,19580630,6865352,matthew,walms,1121,massi e place,the stockyards,dalby,3352,nsw,19280328,6147905
,dojcic,15,barraclough crescent,brookvale,tolga,2025,qld,19990331,7180320,,maier,36,,pine view,rydd,4070,nsw,19020410,4418189
,clarke,14,,rowethorpe,newcastle,2220,vic,19670314,9542197,,maier,36,,pine view,rydd,4070,nsw,19020410,4418189
,clarke,,edkins street,conmurra,robina,2162,nsw,19360520,2120525,,grainger,31,,vinda oldge,winthrop,3629,vic,19251017,9094252
,felmingham,49,gawler crescent,wingara,wynnum west,6159,nsw,19920718,7791969,,allard,26,burnie north west private hospital,dyring place,south perth,4852,nsw,19491011,9472794
michael,richmond,7,tanumbirini street,professional centre,bundaberg,3020,sa,19650831,6836733,michael,shepherd,39,pinkerton c ircuit,millwood,camira,3378,nsw,19301008,3537158
sophie,blackwell,34,nott street,jorobe,lansvale,6149,nsw,19501128,7543684,sophie,manson,14,elizabeth xrescent,manorhouse,gorokan,3465,vic,19510201,4818868
connor,trimble,75,werriwa crescent,scts crk,mill park,2162,nsw,19290729,5610380,connor,camp,29,egerton close,gwandalan,riverhilts,2170,vic,19190905,5237893
jacob,white,11,wilga place,yarramine park,wallabadah,4061,nsw,19760515,6381291,jacob,wbeb,14,hawdon treet,aumuller house,forest lodge,6050,nsw,19450315,8971806
nathan,sieber,21,spowers circuit,white patch,findon,2430,,19681127,8987260,nathan,cannelk,13,theodore street,iona d wons,emerald,2570,nsw,19000823,6294140
georgia,simmonds,16,hurley street,iowanna,mittagong,2100,nsw,19230413,5714719,georgia,clarke,278,blowerinb street,dunfieldpark,port pirie,6111,vic,19990330,3328605
jack,,3,light street,pine hill,windermere,3212,vic,19651013,1551941,jack,collinson,4,blowering os treet,canobolasceaavn park,leeton,4212,nsw,19821223,5810985
joshua,corbin,83,tweed place,five oaks,keilor,4818,nsw,19721018,7955748,joshua,lock,31,,statio r road,logan reserve,6163,vic,19490619,3058210
ethan,hand,1,lambrigg street,rainmore,south perth,5075,vic,19410622,3559862,ethan,hand,1,lambrigg sitreet,rainmore,sout perth,5075,vic,19411222,3559682
zali,mcgregor,25,goulburn street,,richlands,4307,qld,19490225,9800116,zali,mcgregor,25,goulburn street,,richlands,4307,,19490225,9800116
lachlan,nguyen,70,bushby close,locheil,wilson,5046,nsw,19660926,4360586,lachlan,pacey,15,wilshire street,cypress mgarden,wendouree,2770,,19711111,4723081
ruby,rollins,28,flinders way,lazy acres,kilsyth,3775,nsw,19941004,3535164,ruby,mason,24,cruikshank street,yammacoona,tarragindi,5606,vic,19090627,4941274
,muthukuda,11,waratah street,keira,thornlie,0820,vic,19890328,5670243,,maier,36,,pine view,rydd,4070,nsw,19020410,4418189
joshua,green,13,duncan street,euroka,artarmon,4871,qld,19970505,4108253,joshua,gaskin,61,haystack crescent,gemmav,koroit,6233,vic,19590425,3676871
ellouise,domingo,36,leach street,plain view,frankston,6062,nsw,19141125,2822912,ellouise,domnto,36,leach street,plain view,frankston,6062,nsw,19141125,2822912
connor,arda,35,fenner street,summervale,south melbourne,2530,wa,19750417,9721130,connor,tromp,8,eildonplace,willtarny,east maitland,7440,qld,19280129,8096262
,leslie,925,carpenter close,,canterbury,2340,vic,19950608,2438058,,maier,36,,pine view,rydd,4070,nsw,19020410,4418189
benjamin,cassimatis,23,,yacklin,thornleigh,6006,nsw,,1533923,benjamin,donaldson,34,dunoon street,westwood homestead,st algans,2611,nsw,19331111,2281465
,robson,10,flegg crescent,kuliup,woongarrah,3149,nsw,19880603,6084403,,grubb,10,berne cresxent,yooringa,st hubertscisland,6539,nsw,19341211,6333533
,clarke,,edkins street,conmurra,robina,2162,nsw,19360520,2120525,,ebert,69,rapanea street,pangabi,,6061,nsw,19310909,9105802
daniel,mason,10,hazel smith crescent,grant patch,rochedale south,3688,vic,19900531,3210073,daniel,white,1,albermarke place,summer hill,brierfield,3810,sa,19870703,8258879
alessandra,van groesen,,arthur circle,hse 4,o'connor,3040,sa,,5885340,alessandra,van groesen,,arthurcircle,hse 4,o'connor,3040,sa,,5885340
samuel,eglinton,17,tanumbirini street,birks harbour,raymond terrace,2176,vic,19690927,1843263,samuel,gilbertson,7,phillips place,bulliac str eet,brewarrina,6151,qld,19581011,9448590
,gilbertson,5,goodwin street,court units,ethelton,2193,qld,19020904,2879807,,green,48,spowers cricuit,,labrador,5063,nsw,19421213,8321036
,felmingham,49,gawler crescent,wingara,wynnum west,6159,nsw,19920718,7791969,,milla,1,bandulla street,sherwood,forcett,3463,tas,19580204,7520191
connor,foall,17,lamb place,,kilsyth,3174,qld,19140927,4900414,connor,tromp,8,eildonplace,willtarny,east maitland,7440,qld,19280129,8096262
talia,collinson,20,oliver street,,paraburdoo,3197,nsw,19320209,1496537,talia,millaf,20,la perous e street,,kellyfville,2250,wa,19800606,3894135
joshua,corbin,83,tweed place,five oaks,keilor,4818,nsw,19721018,7955748,joshua,lowe,15,patton place,redlands,tarcutta,4705,sa,19120201,7132911
emiily,robnik,288,gosse street,townview,werrington,4216,nsw,19671025,8062583,emiily,millar,80,river street,canberra hse,nunawading,3340,vic,19380318,2340041
jacob,white,11,wilga place,yarramine park,wallabadah,4061,nsw,19760515,6381291,jacob,beatton,,maharattacircuit,specialist centre,robertson,2643,nsw,19860630,9285118
,farrimond,57,tank street,hilltop hostel rowethorpe,modbury,2650,qld,19061111,3876047,,garanggar,,may maxwell crescent,springettst arcade,forest hill,2342,vic,19921016,1366884
,clarke,14,,rowethorpe,newcastle,2220,vic,19670314,9542197,,mason,19,sheaffe street,,burwood,2507,nsw,19461025,4113226
mya,hoffman,757,cantor crescent,largo,kallista,5033,wa,19440312,2516740,mya,mccarthy,43,wakool circuit,,moona hwest,2063,nsw,19120729,5475592
jake,gillard,121,blackbutt street,ethnam farm,maitland,3088,nsw,19590828,1616065,jake,alderson,,eggleston crescent,west-view,granville,5070,nsw,19460415,6446268
luke,white,31,outtrim avenue,glenora farm,flinders bay,2227,sa,19151010,6925269,luke,paterson,80,rischbieth crescent,rooganore,spearwood,4035,vic,19120208,7700965
,white,28,young street,ripplevale,maydena,3102,nsw,19260930,2545305,,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19560126,3864187
hannah,candida,48,santalum street,moorabee,,2030,vic,19210519,9787204,hannah,bansemer,3,owen cre scent,glynstan,lemnos,3065,nsw,19380604,8798025
,clarke,,edkins street,conmurra,robina,2162,nsw,19360520,2120525,,garanggar,,may maxwell crescent,springettst arcade,forest hill,2342,vic,19921016,1366884
ruby,clarke,368,jackie howe crescent,parklands village,bundaberg,2030,nsw,19250903,9905791,ruby,mason,24,cruikshank street,yammacoona,tarragindi,5606,vic,19090627,4941274
thomas,rankine,7,davis street,veone,bossley park,2127,vic,19280703,6882558,thomas,kinnane,10,centaurus street,water vew,bondi junction,2010,nsw,19700907,9269196
jordan,mirritjawuy,8,batchelor street,st vincents medical centre,applecross,3505,sa,19250215,1153859,jordan,whie,8,,,ryde,2148,vic,19890416,6617539
dylan,blacklow,7,stenhouse close,flr 5 john flynn medical centre,vermont,2538,nsw,19390222,8225337,dylan,patafta,17,goldner ircuit,kilnsey,auburn,3138,vic,19100402,7951303
amy,blake,351,prevost place,warramunda,hammondville,4422,nsw,19920715,6686050,amy,green,8,cahalan place,,east preston,2114,,19900401,2287496
,webb,15,honyong crescent,wurtulla shopping vlge,narooma,4114,qld,19430207,5897606,,collibnson,8,parrabel place,fraser lodge,elwozoc,2420,vic,19100819,5602774
,felmingham,49,gawler crescent,wingara,wynnum west,6159,nsw,19920718,7791969,,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19560126,3864187
,collinson,8,parrabel place,fraser lodge,elwood,2420,vic,19100819,5602774,,monda,54,burrinjuck crescent,,aubrun,3345,nsw,19041125,9464025
lachlan,ryan,51,totterdell street,roseglen,dalby,3168,qld,19480724,7284475,lachlan,balasubramaniam,26,mackinolty street,balmora lgarden,scarnorough,2388,nsw,19731007,1798069
,lund,109,caley crescent,allandale aged care facility,mill park,4053,nsw,19180902,7074690,,reidz,46,dooring street,windalea,dandeno ng north,3582,nsw,19130312,1322845
lachlan,plumb,14,garling street,brentwood vlge,julatten,4217,vic,19550313,2243015,lachlan,red,20,starkestreet,busbey's flat,caulfield,2611,vic,19600906,3614628
zachary,bradshaw,106,totterdell street,barossa village,colo vale,3444,qld,19151219,6773972,zachary,thurlow,132,eldridgfestreet,trfeusis,southern cross,4051,nsw,19230305,5024661
,felmingham,49,gawler crescent,wingara,wynnum west,6159,nsw,19920718,7791969,,reidz,46,dooring street,windalea,dandeno ng north,3582,nsw,19130312,1322845
mikayla,mainero,54,haddon street,monkani,graceville,2250,vic,19240330,1458740,mikayla,siviour,2,steinwedel street,cherry bank,pymble,0237,vic,19850704,2668143
caitlin,morrison,8,augustus close,,clarkson,4170,nsw,19130704,9362649,caitlin,basey,414,pelsart street,st francis vlge,daisyh ill,2113,nsw,19110711,7811311
,dojcic,15,barraclough crescent,brookvale,tolga,2025,qld,19990331,7180320,,webb,25,toolambi street,villa 235 henry kendall vlge,helens hill,6166,sa,19470715,1945645
ruby,reid,12,judkins street,the willows,airds,4350,sa,19300620,8834327,ruby,mason,24,cruikshank street,yammacoona,tarragindi,5606,vic,19090627,4941274
joshua,heron,23,dooring street,drypoint,barraba,4214,nsw,19700227,6931228,joshua,fauser,2,unt 2,harrington pcircuit,kingsford,2280,nsw,19820606,4981335
,robson,10,flegg crescent,kuliup,woongarrah,3149,nsw,19880603,6084403,,monda,54,burrinjuck crescent,,aubrun,3345,nsw,19041125,9464025
,collinson,8,parrabel place,fraser lodge,elwood,2420,vic,19100819,5602774,,green,48,spowers cricuit,,labrador,5063,nsw,19421213,8321036
,dojcic,15,barraclough crescent,brookvale,tolga,2025,qld,19990331,7180320,,czarnik,10,bunbury street,glneavon,ulmarra,4252,qld,19601222,3960160
joshua,green,13,duncan street,euroka,artarmon,4871,qld,19970505,4108253,joshua,fauser,2,unt 2,harrington pcircuit,kingsford,2280,nsw,19820606,4981335
brianna,ryan,7,bingham circuit,beltunga,highett,6330,qld,19310316,9339689,brianna,wardle,1,mcdougalll street,,beechbohro,3165,nsw,19440826,2063140
,felmingham,49,gawler crescent,wingara,wynnum west,6159,nsw,19920718,7791969,,maier,36,,pine view,rydd,4070,nsw,19020410,4418189
joshua,pringle,13,fred johns crescent,glenview,elwood,2640,sa,19720127,9406321,joshua,avdic,8,archdal l street,nioa,nunawading,3134,nsw,19200415,9571448
nicholas,beattie,7,edmondson street,goughs bay,modbury,2036,wa,19170811,3374275,nicholas,mycko,259,alma close,farm shed,centennail park,3000,qld,19450728,3274337
luke,karlsen,119,mckenzie street,moonee beach caravan park,woodlands,2224,vic,19060425,3838005,luke,mccartyy,5,bandjalongcrescent,,north curl curl,2160,nsw,19521124,9203828
lily,warnock,68,darling street,jeran,exton,2154,nsw,19620520,2626334,lily,krishnqn,2,bourne treet,redhill,keysborough,2604,qld,19681003,8956118
madison,renfrey,7,mcdougall street,pine hill,bundaberg,6010,vic,19070611,5700724,madison,campbnl,2,terrigal crescent,pendleside,port maquarie,4184,vic,19480830,4528630
joshua,heron,23,dooring street,drypoint,barraba,4214,nsw,19700227,6931228,joshua,lock,31,,statio r road,logan reserve,6163,vic,19490619,3058210
,collinson,8,parrabel place,fraser lodge,elwood,2420,vic,19100819,5602774,,maier,36,,pine view,rydd,4070,nsw,19020410,4418189
riley,okoniewski,91,howitt street,rp 24089,rylstone,6174,vic,19101121,1234018,riley,kelley,8185,edmond close,leisure living vlge,mount stuart,2706,sa,19390207,4148621
jack,fitzpatrick,,condell street,sec 1,fullarton,2221,vic,19041121,9595043,jack,wang,,elliott street,stoney creek,norw ood,2147,nsw,19970913,5004938
cooper,girdler,9,arid place,,burwood,2577,vic,19630327,3241612,cooper,mcneiwll,119,the sandys,maidment place,dungog,5075,nsw,19080127,2706283
,white,28,young street,ripplevale,maydena,3102,nsw,19260930,2545305,,milla,1,bandulla street,sherwood,forcett,3463,tas,19580204,7520191
lachlan,godfrey,45,lienhop street,sorrento,lalor,2350,sa,19080429,9107241,lachlan,ryan,51,totterdell street,roseglen,dalhy,3168,qld,19480724,7284475
nicholas,leung,40,moorhouse street,two tree hill,boondoola,3732,vic,19951115,7261271,nicholas,scantlebury,25,kambah vlge,casuarina sh oppingsqre,fish creek,3585,nsw,19370405,8589026
,collinson,8,parrabel place,fraser lodge,elwood,2420,vic,19100819,5602774,,milla,1,bandulla street,sherwood,forcett,3463,tas,19580204,7520191
braiden,hohn,6,swinden street,alanvale,mulgrave east,7140,nsw,19920920,4170069,braiden,parr,15,raiwalla court,st francisivillage,kriwan,2444,vic,19960327,7031748
joshua,petersen,8,wybalena grove,lyra park,surry hills,3162,vic,19420824,4895026,joshua,dixon,60,croton street,ethnam arm,surrey hills,2617,nsw,19481014,5540614
caitlin,bevis,46,smith street,grammar school,hawthorn,4878,nsw,19601011,3040069,caitlin,dominey,2,,kilbutnie,plainby,6018,nsw,19761113,3992744
mia,garrigan,53,michie street,westholme,armidale,3178,nsw,19700522,6416070,mia,reid,4,le hunte srreet,marretth,como,3777,vic,19800421,3451673
alexandra,nguyen,26,fremantle drive,merricroft,highton,6532,nsw,19440220,2682401,alexandra,yiannoulis,159,archdall street,tall ipnes,rowville,3284,vic,19790913,7551259
xavier,campbell,9,norton street,pine camp,coniston,5092,nsw,19640316,9178267,xavier,campbell,9,norton street,pine casmp,coniston,5092,nsw,19640316,9178267
,dojcic,15,barraclough crescent,brookvale,tolga,2025,qld,19990331,7180320,,araujo,225,nepean place,kinross,lake cathie,2302,vic,19140124,5500784
benjamin,coleman,12,canopus crescent,,port kembla,2795,qld,19010422,1651755,benjamin,donaldson,34,dunoon street,westwood homestead,st algans,2611,nsw,19331111,2281465
luke,mcphie,20,wheadon street,beltunga,christmas creek,6058,nsw,19110123,8869942,luke,hursey,23,turriffstreet,inishmore,port franklin,4017,lqd,19220923,1219514
benjamin,liccioni,2,golden grove,jestarlei,lavington,2042,wa,19100711,2197467,benjamin,morr ison,16,kingscotecrescent,malanda orchard,sanctuary point,0280,nws,19761231,3201927
stella,mason,408,kallara close,the parks,mount eliza,4122,wa,19510426,7535262,stella,clarke,11,leist strewt,emerald banks,burnie,3152,wa,19020227,6990160
ethan,hand,1,lambrigg street,rainmore,south perth,5075,vic,19410622,3559862,ethan,coleman,64,ragless circuit,,hindmarsd west,4701,nsw,19650701,9807949
luke,broadhead,44,sewell place,golden down,waterloo corner,3123,qld,19571018,8632021,luke,paterson,80,rischbieth crescent,rooganore,spearwood,4035,vic,19120208,7700965
joshua,green,13,duncan street,euroka,artarmon,4871,qld,19970505,4108253,joshua,crouch,94,forbes street,,johnsonville,2327,sa,19700216,4813329
,fullerton,20,leichhardt street,gostwyck,chelsea heights,6107,nsw,19620113,4058902,,czarnik,10,bunbury street,glneavon,ulmarra,4252,qld,19601222,3960160
riley,landow,43,hannaford street,wattle tree,marayong,6025,vic,19971031,4812402,riley,kelley,8185,edmond close,leisure living vlge,mount stuart,2706,sa,19390207,4148621
,lowry,6,hadleigh circuit,rowethorpe,rossmoyne,2770,sa,19350708,6616912,,reid,11,,green lzgoon,camp hill,6026,vic,19671214,5483640
lachlan,plumb,14,garling street,brentwood vlge,julatten,4217,vic,19550313,2243015,lachlan,pacey,15,wilshire street,cypress mgarden,wendouree,2770,,19711111,4723081
,fullerton,20,leichhardt street,gostwyck,chelsea heights,6107,nsw,19620113,4058902,,babic,1,totterdell street,cooingale,st albans,4060,sa,19450493,3346822
nicholas,beattie,7,edmondson street,goughs bay,modbury,2036,wa,19170811,3374275,nicholas,commoyns,50,couchman crescent,lochlee,pardale,5169,sa,19980815,9438920
,dojcic,15,barraclough crescent,brookvale,tolga,2025,qld,19990331,7180320,,milla,1,bandulla street,sherwood,forcett,3463,tas,19580204,7520191
benjamin,hartland,40,ranken place,sorrento,collie,3799,qld,19080206,7081220,benjamin,bellon,11,croton street,omaru,artarmon,4406,nsw,19120805,3089666
,fullerton,20,leichhardt street,gostwyck,chelsea heights,6107,nsw,19620113,4058902,,ebert,69,rapanea street,pangabi,,6061,nsw,19310909,9105802
liam,grainger,251,magrath crescent,brindabella specialist centre,mclaren flat,2041,nsw,19690906,9030428,liam,jolly,10,endeavour sreet,pinnacles caravn park,mansfield,7310,qld,19931105,2506329
lachlan,plumb,14,garling street,brentwood vlge,julatten,4217,vic,19550313,2243015,lachlan,bottroff,92,,quandilala,brone,4670,nsw,19641111,4134354
,gilbertson,5,goodwin street,court units,ethelton,2193,qld,19020904,2879807,,braithwaite,29,tweed p lace,brileen,cabramatta,5051,vic,19740815,8052512
chloe,musolino,19,warrumbul street,gordonvale,brighton,3782,nt,,7147784,chloe,condo,36,yabsley place,munmurar park,mackay north,5082,nsw,19170115,7153959
joshua,moody,15,glover street,el-woodaro,warren,2304,qld,19580620,9224762,joshua,stubx,50,bimbiangc rescent,rosetta ivllage,holswirthy,3071,nsw,19580212,4826701
ruby,mason,24,weatherburn place,yammacoona,tarragindi,5606,vic,19090627,4941274,ruby,mason,24,cruikshank street,yammacoona,tarragindi,5606,vic,19090627,4941274
georgia,glover-smith,34,howse street,,raby,5340,wa,19790813,8934327,georgia,petersen,20,temperley s treet,tieve tara,toowong,3715,qld,19700324,4385775
nicholas,matson,17,stephen street,taylors creek bridge,cowell,2454,vic,19990419,3182512,nicholas,mycko,259,alma close,farm shed,centennail park,3000,qld,19450728,3274337
,webb,15,honyong crescent,wurtulla shopping vlge,narooma,4114,qld,19430207,5897606,,czarnik,10,bunbury street,glneavon,ulmarra,4252,qld,19601222,3960160
michael,richmond,7,tanumbirini street,professional centre,bundaberg,3020,sa,19650831,6836733,michael,plessnitzer,26,william webbodrive,rockview,cowra,3023,nsw,19800518,3756443
,gilbertson,5,goodwin street,court units,ethelton,2193,qld,19020904,2879807,,collibnson,8,parrabel place,fraser lodge,elwozoc,2420,vic,19100819,5602774
jessica,mccarthy,131,eagle circuit,sherwood,findon,0812,sa,19341117,5667929,jessica,beam,19,glenubrn,griffiths street,toorak,5540,nsw,19040321,7839655
,clarke,14,,rowethorpe,newcastle,2220,vic,19670314,9542197,,araujo,225,nepean place,kinross,lake cathie,2302,vic,19140124,5500784
,farrimond,57,tank street,hilltop hostel rowethorpe,modbury,2650,qld,19061111,3876047,,mason,19,sheaffe street,,burwood,2507,nsw,19461025,4113226
lily,warnock,68,darling street,jeran,exton,2154,nsw,19620520,2626334,lily,poskey,38,moore o lace,kenbar,lower templestowe,2474,nsw,19210315,8556979
annabel,thorpe,19,ardlethan street,galloway,rokeby,4670,vic,19920305,2814912,annabel,thropr,21,airey crescent,galloway,rokeby,4670,vic,19920305,2814912
,lund,109,caley crescent,allandale aged care facility,mill park,4053,nsw,19180902,7074690,,maier,36,,pine view,rydd,4070,nsw,19020410,4418189
,white,28,young street,ripplevale,maydena,3102,nsw,19260930,2545305,,allard,26,burnie north west private hospital,dyring place,south perth,4852,nsw,19491011,9472794
,clarke,14,,rowethorpe,newcastle,2220,vic,19670314,9542197,,webb,25,toolambi street,villa 235 henry kendall vlge,helens hill,6166,sa,19470715,1945645
,white,28,young street,ripplevale,maydena,3102,nsw,19260930,2545305,,ebert,69,rapanea street,pangabi,,6061,nsw,19310909,9105802
angus,mcgregor,1,,rosetta village,chelsea heights,3020,wa,19170409,8677579,angus,silvestro,41,nott street,tathra river est,middleton beach,3137,nsw,19560720,9873948
,lowry,6,hadleigh circuit,rowethorpe,rossmoyne,2770,sa,19350708,6616912,,collibnson,8,parrabel place,fraser lodge,elwozoc,2420,vic,19100819,5602774
sophie,mason,20,johnson place,mt providence hostel,hope valley,6056,wa,19580507,9799282,sophie,thredgold,35,bramble street,tigers hill,,6210,sa,19830705,8974658
,white,28,young street,ripplevale,maydena,3102,nsw,19260930,2545305,,braithwaite,29,tweed p lace,brileen,cabramatta,5051,vic,19740815,8052512
georgia,glover-smith,34,howse street,,raby,5340,wa,19790813,8934327,georgia,glover-smith,34,howse street,,rab,5340,wa,19790813,8934327
lachlan,nguyen,70,bushby close,locheil,wilson,5046,nsw,19660926,4360586,lachlan,goldsworthy,5,wanganeen avenue,howie circuit,sheidow park,2038,sa,19380108,4133306
chevonne,wilkins,18,wilga place,the slipway,kellyville,4215,sa,19721204,9505241,chevonne,montakvo,42,baskerville street,kangaro o grnd,ventnor,2310,vic,19620511,7935536
,webb,15,honyong crescent,wurtulla shopping vlge,narooma,4114,qld,19430207,5897606,,campbell,282,osburndrive,white patch,carralra,6030,vic,,2172403
,fullerton,20,leichhardt street,gostwyck,chelsea heights,6107,nsw,19620113,4058902,,grainger,31,,vinda oldge,winthrop,3629,vic,19251017,9094252
jack,campbell,11,bremer street,sec 1,san remo,2134,tas,19291016,2920956,jack,collinson,4,blowering os treet,canobolasceaavn park,leeton,4212,nsw,19821223,5810985
mitchell,wheatley,63,embling street,,mongarlowe,2795,qld,19641102,3016745,mitchell,lex,8,dexter street,blythlands,upper coomera,2011,nsw,19430227,9870170
madison,renfrey,7,mcdougall street,pine hill,bundaberg,6010,vic,19070611,5700724,madison,morrison,38,peacock place,melim a,campbelltown,3021,wa,19481214,1967265
,farrimond,57,tank street,hilltop hostel rowethorpe,modbury,2650,qld,19061111,3876047,,noble,10,costello circuit,the manor braeside,bicton,2290,qld,19710327,9357658
andrew,berry,70,galibal street,blue haven village,ascot,5606,sa,19540522,4799173,andrew,wang,9,barrington crescent,summe rhill,orford,2795,nsw,19260203,4852197
zachariah,campbell,32,gellibrand street,carowood,keswick,3148,vic,19271210,2544494,zachariah,nadels,68,,laureldale,northgate,2133,qld,,9143498
,clarke,14,,rowethorpe,newcastle,2220,vic,19670314,9542197,,allard,26,burnie north west private hospital,dyring place,south perth,4852,nsw,19491011,9472794
joshua,coleman,16,mosman place,aralee,kooyong,3431,nsw,19501024,2640319,joshua,avdic,8,archdal l street,nioa,nunawading,3134,nsw,19200415,9571448
jacob,white,11,wilga place,yarramine park,wallabadah,4061,nsw,19760515,6381291,jacob,delfos,102,morgan crescent,valicare,geurie,4557,act,19510208,4071052
zali,mcgregor,25,goulburn street,,richlands,4307,qld,19490225,9800116,zali,white,,blackman crescent,glenairne,bundaberg,6280,wa,19020311,7291149
adam,matthews,64,elvire place,mt pleasant,port macquarie,2210,tas,19181115,3647256,adam,ewald,,wentcher place,longstay caravn park,kempsey,5902,nsw,19180203,2268410
lachlan,nguyen,70,bushby close,locheil,wilson,5046,nsw,19660926,4360586,lachlan,rawlibs,49,lochleugh,whispering pines,coonamble,2089,nsw,19261022,9145105
connor,lungershausen,28,hilder street,morayfield exchange,redbank plains,4350,nsw,19431008,3687513,connor,tromp,8,eildonplace,willtarny,east maitland,7440,qld,19280129,8096262
,leslie,925,carpenter close,,canterbury,2340,vic,19950608,2438058,,collibnson,8,parrabel place,fraser lodge,elwozoc,2420,vic,19100819,5602774
joshua,moody,15,glover street,el-woodaro,warren,2304,qld,19580620,9224762,joshua,gaskin,61,haystack crescent,gemmav,koroit,6233,vic,19590425,3676871
joshua,pringle,13,fred johns crescent,glenview,elwood,2640,sa,19720127,9406321,joshua,raward,26,yambina cerscent,thorndale,macgrdgor,4718,qld,,9086686
timothy,jesser,,hackett garden,narraburra lodge,killara,2283,vic,19000601,9949289,timothy,bishop,8,zox circuit,,lismore,2168,vic,19771008,3069847
isabella,tinsley,181,chewings street,sherwood,maiden gully,5039,vic,19620924,7350425,isabella,ryan,61,downes place,spring ridge,ardeer,3058,nsw,19331204,4702512
